indicator,date,rate
open,2023-05-15 20:00:00,309.54
high,2023-05-15 20:00:00,309.54
low,2023-05-15 20:00:00,309.54
close,2023-05-15 20:00:00,309.54
open,2023-05-15 19:59:00,309.44
high,2023-05-15 19:59:00,309.44
low,2023-05-15 19:59:00,309.44
close,2023-05-15 19:59:00,309.44
open,2023-05-15 19:55:00,309.4208
high,2023-05-15 19:55:00,309.4208
low,2023-05-15 19:55:00,309.4208
close,2023-05-15 19:55:00,309.4208
open,2023-05-15 19:53:00,309.43
high,2023-05-15 19:53:00,309.43
low,2023-05-15 19:53:00,309.43
close,2023-05-15 19:53:00,309.43
open,2023-05-15 19:47:00,309.5
high,2023-05-15 19:47:00,309.5
low,2023-05-15 19:47:00,309.5
close,2023-05-15 19:47:00,309.5
open,2023-05-15 19:43:00,309.53
high,2023-05-15 19:43:00,309.53
low,2023-05-15 19:43:00,309.53
close,2023-05-15 19:43:00,309.53
open,2023-05-15 19:42:00,309.52
high,2023-05-15 19:42:00,309.52
low,2023-05-15 19:42:00,309.52
close,2023-05-15 19:42:00,309.52
open,2023-05-15 19:41:00,309.52
high,2023-05-15 19:41:00,309.52
low,2023-05-15 19:41:00,309.52
close,2023-05-15 19:41:00,309.52
open,2023-05-15 19:38:00,309.41
high,2023-05-15 19:38:00,309.41
low,2023-05-15 19:38:00,309.41
close,2023-05-15 19:38:00,309.41
open,2023-05-15 19:35:00,309.47
high,2023-05-15 19:35:00,309.47
low,2023-05-15 19:35:00,309.47
close,2023-05-15 19:35:00,309.47
open,2023-05-15 19:34:00,309.47
high,2023-05-15 19:34:00,309.47
low,2023-05-15 19:34:00,309.47
close,2023-05-15 19:34:00,309.47
open,2023-05-15 19:33:00,309.4
high,2023-05-15 19:33:00,309.4
low,2023-05-15 19:33:00,309.4
close,2023-05-15 19:33:00,309.4
open,2023-05-15 19:31:00,309.47
high,2023-05-15 19:31:00,309.47
low,2023-05-15 19:31:00,309.47
close,2023-05-15 19:31:00,309.47
open,2023-05-15 19:28:00,309.47
high,2023-05-15 19:28:00,309.47
low,2023-05-15 19:28:00,309.47
close,2023-05-15 19:28:00,309.47
open,2023-05-15 19:16:00,309.46
high,2023-05-15 19:16:00,309.46
low,2023-05-15 19:16:00,309.46
close,2023-05-15 19:16:00,309.46
open,2023-05-15 19:13:00,309.4
high,2023-05-15 19:13:00,309.4
low,2023-05-15 19:13:00,309.4
close,2023-05-15 19:13:00,309.4
open,2023-05-15 19:09:00,309.45
high,2023-05-15 19:09:00,309.47
low,2023-05-15 19:09:00,309.4101
close,2023-05-15 19:09:00,309.4101
open,2023-05-15 19:05:00,309.45
high,2023-05-15 19:05:00,309.45
low,2023-05-15 19:05:00,309.45
close,2023-05-15 19:05:00,309.45
open,2023-05-15 19:04:00,309.4
high,2023-05-15 19:04:00,309.4
low,2023-05-15 19:04:00,309.4
close,2023-05-15 19:04:00,309.4
open,2023-05-15 19:00:00,309.45
